MnuNo,MenuOpt,MnuName,MnuCap,MnuPgm,ExeName,MnuWght,AllowWhenTrnClosed,pgmopt,DbInfo,MenuIcon,Menusep,MenuBold,MultiInstance,SourceFile
270,274,Till Management,Reconciliation,P,SR138900.EXE,0,0,4,0,,0,0,0,ZIP:SH9_016_EE_0_01.S9Q
270,275,Till Management,Open Cash Drawer,P,SR138900.EXE,0,0,5,0,,0,0,0,ZIP:SH9_016_EE_0_01.S9Q
270,276,Till Management,Till - Reprint,P,SR138900.EXE,0,0,6,0,,0,0,0,ZIP:SH9_016_EE_0_01.S9Q
280,281,Credit Sale Management,Collect Payment,P,SR142500.EXE,0,0,0,0,,0,0,0,ZIP:SH9_019_EE_1_01.S9Q
280,282,Credit Sale Management,Set Opening Balance,P,SR142500.EXE,0,0,1,0,,0,0,0,ZIP:SH9_019_EE_1_01.S9Q
280,283,Credit Sale Management,Clear Credit Note,P,SR142500.EXE,0,0,2,0,,0,0,0,ZIP:SH9_019_EE_1_01.S9Q
300,311,Stock,Import DC / Master from PT File,P,SR324400.exe,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
300,312,Stock,Physical Verification,P,SR101000.exe,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
300,313,Stock,Goods Inwards,P,SR127000.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
300,314,Stock,Goods Inwards Size-wise,P,SR129500.EXE,0,0,0,0,,1,0,0,ZIP:SH9_013_EE_0_10.S9Q
300,315,Transactions,Goods Outwards,P,SR100700.EXE,0,0,0,0,,1,0,0,ZIP:SH9_013_EE_0_10.S9Q
300,316,Stock,PT File Information,P,SR210700.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
300,317,Stock,Audit Trail - Size-wise,P,SR217700.EXE,0,1,0,0,,1,0,0,ZIP:SH9_013_EE_0_10.S9Q
300,350,Stock,Stock Take,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
300,360,Stock,Carton Management,M,,0,0,0,0,,0,0,0,ZIP:SH9_018_EE_0_01.S9Q
300,370,Stock,Barcode,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
300,380,Stock,Purchase Order,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
350,351,Stock Take,Physical Stock Management,P,SR323400.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
350,352,Stock Take,Physical vs Computed Stock Report,P,SR211000.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
350,353,Stock Take,Physical Stock Report,P,SR213300.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
350,354,Stock Take,Physical Stock Report - Batch-wise,P,SR203500.exe,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
360,361,Stock,Carton Type Creation,P,SR441100.EXE,0,0,0,0,,0,0,0,ZIP:SH9_018_EE_0_01.S9Q
360,362,Stock,Carton,P,SR440700.EXE,0,0,0,0,,0,0,0,ZIP:SH9_018_EE_0_01.S9Q
360,363,Stock,Packing,P,SR440900.EXE,0,0,0,0,,0,0,0,ZIP:SH9_018_EE_0_01.S9Q
370,371,Barcode,Design Label for Barcode Printers,P,SR413000.EXE,0,1,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
370,372,Barcode,Design Label for Standard Printers,P,SR431200.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
370,373,Barcode,Design Layout for Standard Printers,P,SR431200.EXE,0,0,2,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
370,374,Barcode,Print Labels,P,SR413100.EXE,0,1,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
380,381,Purchase Order,Generation,P,SE100900.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
380,383,Purchase Order,Import,P,SE100400.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
